Actual_Cases,Predicted_Cases,Risk_Level,Actual_Status,Predicted_Status
4334.000000000003,9454.205,ALERT,0,0
8419.999999999998,9221.665,ALERT,0,0
3809.999999999998,12406.86,ALERT,0,0
6947.0000000000055,10932.975,ALERT,0,0
7649.000000000001,11936.8955,ALERT,0,0
5940.0,11454.494,ALERT,0,0
5125.000000000004,11201.322,ALERT,0,0
4631.999999999998,9040.376,ALERT,0,0
12077.0,10454.803,ALERT,0,0
4479.0,10669.773,ALERT,0,0
8876.000000000004,13858.365,ALERT,0,0
11970.000000000007,11079.262,ALERT,0,0
12131.999999999996,12744.388,ALERT,0,0
11215.000000000004,11317.946,ALERT,0,0
7841.9999999999945,12986.178,ALERT,0,0
4879.000000000003,12535.533,ALERT,0,0
9548.000000000004,12809.791,ALERT,0,0
12386.00000000001,12703.527,ALERT,0,0
5887.999999999999,14483.527,ALERT,0,0
13598.999999999998,11187.08,ALERT,0,0
8904.999999999993,12766.578,ALERT,0,0
13621.999999999995,10170.709,ALERT,0,0
4035.9999999999986,12041.695,ALERT,0,0
10982.00000000001,13145.521,ALERT,0,0
5337.999999999997,11312.237,ALERT,0,0
12104.000000000007,11409.801,ALERT,0,0
12715.000000000005,12318.453,ALERT,0,0
8869.000000000007,8696.569,ALERT,0,0
7826.000000000005,10109.798,ALERT,0,0
9280.000000000007,12409.191,ALERT,0,0
6283.000000000002,9549.99,ALERT,0,0
3930.0,10142.936,ALERT,0,0
11888.999999999989,10135.953,ALERT,0,0
7515.000000000005,11681.236,ALERT,0,0
5631.0000000000055,11830.514,ALERT,0,0
5918.9999999999945,12407.594,ALERT,0,0
11639.000000000007,11293.459,ALERT,0,0
9775.999999999993,9758.887,ALERT,0,0
6542.999999999999,12802.853,ALERT,0,0
11190.000000000005,11816.542,ALERT,0,0
8299.000000000007,11833.8545,ALERT,0,0
10452.99999999999,10646.149,ALERT,0,0
10998.000000000005,8594.207,ALERT,0,0
11419.000000000007,10148.615,ALERT,0,0
11467.000000000002,9900.168,ALERT,0,0
7270.000000000005,11189.3955,ALERT,0,0
10841.000000000007,12496.332,ALERT,0,0
11119.999999999993,11473.618,ALERT,0,0
11660.000000000004,9173.837,ALERT,0,0
3950.999999999999,11883.133,ALERT,0,0
12349.999999999993,11936.349,ALERT,0,0
9303.999999999993,10860.92,ALERT,0,0
5060.999999999996,12109.334,ALERT,0,0
6156.999999999998,11774.849,ALERT,0,0
11438.999999999993,9625.441,ALERT,0,0
11962.000000000011,9911.383,ALERT,0,0
9603.000000000007,13789.16,ALERT,0,0
12253.000000000005,12158.322,ALERT,0,0
9117.000000000007,9843.909,ALERT,0,0
9883.0,9282.04,ALERT,0,0
13473.000000000011,8947.535,ALERT,0,0
8925.999999999995,10705.48,ALERT,0,0
7079.0,10757.66,ALERT,0,0
9407.000000000002,10747.866,ALERT,0,0
11271.00000000001,9489.32,ALERT,0,0
3947.000000000002,9348.961,ALERT,0,0
6189.000000000002,8804.752,ALERT,0,0
10615.000000000007,8005.679,NORMAL,0,0
4430.000000000003,8016.606,NORMAL,0,0
11377.000000000007,8545.092,ALERT,0,0
12174.000000000002,8479.54,NORMAL,0,0
4323.999999999999,9060.593,ALERT,0,0
14224.999999999998,6413.9165,NORMAL,0,0
4986.000000000003,8994.878,ALERT,0,0
6526.9999999999945,7286.12,NORMAL,0,0
6632.999999999998,7676.0054,NORMAL,0,0
9387.000000000004,8522.001,ALERT,0,0
12083.0,8859.777,ALERT,0,0
7465.000000000001,7980.049,NORMAL,0,0
6273.999999999999,9754.839,ALERT,0,0
7420.999999999994,11162.608,ALERT,0,0
13937.00000000001,12113.343,ALERT,0,0
6860.0000000000055,12188.253,ALERT,0,0
13600.999999999995,13433.481,ALERT,0,0
8866.999999999993,9681.975,ALERT,0,0
7979.000000000005,9966.647,ALERT,0,0
4189.0,9314.027,ALERT,0,0
12068.000000000005,9476.369,ALERT,0,0
11443.00000000001,11514.442,ALERT,0,0
4098.999999999999,11735.026,ALERT,0,0
13804.999999999995,13204.996,ALERT,0,0
13977.000000000005,10684.314,ALERT,0,0
14103.999999999998,14412.576,ALERT,0,0
12691.999999999989,16357.785,OUTBREAK,0,0
9105.000000000002,16102.415,OUTBREAK,0,0
5963.000000000004,11819.45,ALERT,0,0
8223.999999999995,13469.121,ALERT,0,0
14035.999999999987,16702.084,OUTBREAK,0,0
6999.999999999998,13675.53,ALERT,0,0
13983.000000000004,12483.633,ALERT,0,0
7658.000000000001,16637.203,OUTBREAK,0,0
7802.000000000002,16885.441,OUTBREAK,0,0
12049.000000000002,12973.588,ALERT,0,0
10631.999999999996,13524.589,ALERT,0,0
3864.000000000002,13607.408,ALERT,0,0
10996.99999999999,12977.437,ALERT,0,0
12435.999999999995,10931.838,ALERT,0,0
13817.000000000007,12060.879,ALERT,0,0
12705.999999999996,10485.27,ALERT,0,0
4778.000000000003,11715.657,ALERT,0,0
7327.999999999995,8957.696,ALERT,0,0
12911.99999999999,10753.608,ALERT,0,0
6279.999999999997,9560.653,ALERT,0,0
11389.00000000001,11853.0,ALERT,0,0
6729.000000000002,9407.962,ALERT,0,0
10540.999999999993,11025.164,ALERT,0,0
6396.0,12213.178,ALERT,0,0
10883.0,14753.441,ALERT,0,0
7311.0000000000055,13056.283,ALERT,0,0
